Date,Time,Ia,Ig,Ia 2nd Limit,Ia 1st Limit,Conv_Speed,Product_Temp,Electrode_Set,Electrode_Act
25/03/2025,14:41:33,1.62,0.56,1.7,1.5,0.2,79,75,93.9
25/03/2025,14:41:38,1.61,0.56,1.7,1.5,0.2,78,75,93.9
25/03/2025,14:41:43,1.61,0.56,1.7,1.5,0.2,78,75,93.9
25/03/2025,14:41:48,1.61,0.56,1.7,1.5,0.2,77,75,93.9
25/03/2025,14:41:53,1.6,0.56,1.7,1.5,0.2,77,75,93.9
25/03/2025,14:41:58,1.58,0.56,1.7,1.5,0.2,77,75,93.9
25/03/2025,14:42:03,1.57,0.56,1.7,1.5,0.2,76,75,93.9
25/03/2025,14:42:08,1.55,0.56,1.7,1.5,0.2,76,75,93.9
25/03/2025,14:42:13,1.54,0.56,1.7,1.5,0.2,75,75,93.9
25/03/2025,14:42:18,1.51,0.56,1.7,1.5,0.2,75,75,93.9
25/03/2025,14:42:23,1.5,0.56,1.7,1.5,0.2,75,75,93.9
25/03/2025,14:42:28,1.54,0.56,1.7,1.5,0.2,74,75,93.8
25/03/2025,14:42:33,1.53,0.56,1.7,1.5,0.2,74,75,93.8
25/03/2025,14:42:38,1.53,0.56,1.7,1.5,0.2,74,75,93.8
25/03/2025,14:42:43,1.52,0.56,1.7,1.5,0.2,74,75,93.8
25/03/2025,14:42:48,1.52,0.56,1.7,1.5,0.2,73,75,93.8
25/03/2025,14:42:53,1.51,0.56,1.7,1.5,0.2,73,75,93.8
25/03/2025,14:42:58,1.51,0.56,1.7,1.5,0.2,73,75,93.8
25/03/2025,14:43:03,1.5,0.56,1.7,1.5,0.2,73,75,93.8
25/03/2025,14:43:08,1.52,0.56,1.7,1.5,0.2,72,75,93.7
25/03/2025,14:43:13,1.51,0.56,1.7,1.5,0.2,72,75,93.7
25/03/2025,14:43:18,1.51,0.56,1.7,1.5,0.2,71,75,93.7
25/03/2025,14:43:23,1.5,0.56,1.7,1.5,0.2,71,75,93.7
25/03/2025,14:43:28,1.51,0.56,1.7,1.5,0.2,71,75,93.7
25/03/2025,14:43:33,1.5,0.56,1.7,1.5,0.2,71,75,93.7
25/03/2025,14:43:38,1.52,0.56,1.7,1.5,0.2,70,75,93.6
25/03/2025,14:43:43,1.51,0.56,1.7,1.5,0.2,70,75,93.6
25/03/2025,14:43:48,1.53,0.56,1.7,1.5,0.2,70,75,93.5
25/03/2025,14:43:53,1.52,0.56,1.7,1.5,0.2,70,75,93.5
25/03/2025,14:43:58,1.52,0.56,1.7,1.5,0.2,70,75,93.5
25/03/2025,14:44:03,1.51,0.56,1.7,1.5,0.2,70,75,93.5
25/03/2025,14:44:08,1.5,0.57,1.7,1.5,0.2,69,75,93.5
25/03/2025,14:44:13,1.53,0.56,1.7,1.5,0.2,69,75,93.5
25/03/2025,14:44:18,1.52,0.56,1.7,1.5,0.2,69,75,93.5
25/03/2025,14:44:23,1.52,0.56,1.7,1.5,0.2,69,75,93.5
25/03/2025,14:44:28,1.52,0.56,1.7,1.5,0.2,69,75,93.5
